country,keyword,search_interest
Afghanistan,meditation,77
Albania,meditation,80
Algeria,meditation,79
American Samoa,meditation,100
Andorra,meditation,45
Angola,meditation,64
Antigua & Barbuda,meditation,79
Argentina,meditation,18
Armenia,meditation,79
Aruba,meditation,80
Australia,meditation,75
Austria,meditation,91
Azerbaijan,meditation,74
Bahamas,meditation,82
Bahrain,meditation,79
Bangladesh,meditation,84
Barbados,meditation,75
Belarus,meditation,69
Belgium,meditation,68
Belize,meditation,80
Benin,meditation,98
Bermuda,meditation,76
Bhutan,meditation,56
Bolivia,meditation,30
Bosnia & Herzegovina,meditation,75
Botswana,meditation,86
Brazil,meditation,27
British Virgin Islands,meditation,100
Brunei,meditation,76
Bulgaria,meditation,79
Burkina Faso,meditation,97
Burundi,meditation,100
Cambodia,meditation,79
Cameroon,meditation,98
Canada,meditation,78
Cape Verde,meditation,71
Caribbean Netherlands,meditation,77
Cayman Islands,meditation,71
Central African Republic,meditation,100
Chad,meditation,100
Chile,meditation,15
China,meditation,68
Colombia,meditation,21
Comoros,meditation,100
Congo - Brazzaville,meditation,100
Congo - Kinshasa,meditation,98
Cook Islands,meditation,53
Costa Rica,meditation,44
Croatia,meditation,66
Cuba,meditation,38
Curaçao,meditation,75
Cyprus,meditation,72
Czechia,meditation,56
Côte d’Ivoire,meditation,97
Denmark,meditation,64
Djibouti,meditation,100
Dominica,meditation,100
Dominican Republic,meditation,48
Ecuador,meditation,25
Egypt,meditation,75
El Salvador,meditation,32
Equatorial Guinea,meditation,100
Eritrea,meditation,100
Estonia,meditation,69
Eswatini,meditation,80
Ethiopia,meditation,80
Falkland Islands (Islas Malvinas),meditation,0
Faroe Islands,meditation,61
Fiji,meditation,89
Finland,meditation,50
France,meditation,92
French Guiana,meditation,91
French Polynesia,meditation,91
Gabon,meditation,98
Gambia,meditation,90
Georgia,meditation,77
Germany,meditation,91
Ghana,meditation,93
Gibraltar,meditation,76
Greece,meditation,67
Greenland,meditation,83
Grenada,meditation,82
Guadeloupe,meditation,95
Guam,meditation,74
Guatemala,meditation,33
Guernsey,meditation,69
Guinea,meditation,100
Guinea-Bissau,meditation,100
Guyana,meditation,83
Haiti,meditation,98
Honduras,meditation,37
Hong Kong,meditation,60
Hungary,meditation,55
Iceland,meditation,59
India,meditation,90
Indonesia,meditation,53
Iran,meditation,80
Iraq,meditation,72
Ireland,meditation,72
Isle of Man,meditation,64
Israel,meditation,75
Italy,meditation,31
Jamaica,meditation,82
Japan,meditation,77
Jersey,meditation,73
Jordan,meditation,73
Kazakhstan,meditation,74
Kenya,meditation,84
Kosovo,meditation,80
Kuwait,meditation,80
Kyrgyzstan,meditation,77
Laos,meditation,70
Latvia,meditation,77
Lebanon,meditation,78
Lesotho,meditation,89
Liberia,meditation,90
Libya,meditation,74
Liechtenstein,meditation,96
Lithuania,meditation,66
Luxembourg,meditation,81
Macao,meditation,72
Madagascar,meditation,94
Malawi,meditation,91
Malaysia,meditation,77
Maldives,meditation,77
Mali,meditation,100
Malta,meditation,70
Marshall Islands,meditation,100
Martinique,meditation,98
Mauritania,meditation,80
Mauritius,meditation,87
Mayotte,meditation,100
Mexico,meditation,29
Micronesia,meditation,100
Moldova,meditation,67
Mongolia,meditation,79
Montenegro,meditation,73
Morocco,meditation,81
Mozambique,meditation,67
Myanmar (Burma),meditation,75
Namibia,meditation,83
Nepal,meditation,91
Netherlands,meditation,40
New Caledonia,meditation,97
New Zealand,meditation,72
Nicaragua,meditation,36
Niger,meditation,86
Nigeria,meditation,88
North Macedonia,meditation,78
Northern Mariana Islands,meditation,77
Norway,meditation,56
Oman,meditation,81
Pakistan,meditation,79
Palau,meditation,100
Palestine,meditation,71
Panama,meditation,41
Papua New Guinea,meditation,88
Paraguay,meditation,27
Peru,meditation,17
Philippines,meditation,76
Poland,meditation,46
Portugal,meditation,51
Puerto Rico,meditation,55
Qatar,meditation,78
Romania,meditation,64
Russia,meditation,70
Rwanda,meditation,87
Réunion,meditation,94
Samoa,meditation,100
San Marino,meditation,40
Saudi Arabia,meditation,77
Senegal,meditation,92
Serbia,meditation,73
Seychelles,meditation,91
Sierra Leone,meditation,81
Singapore,meditation,71
Sint Maarten,meditation,85
Slovakia,meditation,66
Slovenia,meditation,79
Solomon Islands,meditation,100
Somalia,meditation,83
South Africa,meditation,82
South Korea,meditation,68
South Sudan,meditation,100
Spain,meditation,26
Sri Lanka,meditation,85
St. Barthélemy,meditation,97
St. Helena,meditation,63
St. Kitts & Nevis,meditation,86
St. Lucia,meditation,88
St. Martin,meditation,100
St. Pierre & Miquelon,meditation,100
St. Vincent & Grenadines,meditation,82
Sudan,meditation,78
Suriname,meditation,78
Sweden,meditation,64
Switzerland,meditation,85
Syria,meditation,83
Taiwan,meditation,69
Tajikistan,meditation,84
Tanzania,meditation,91
Thailand,meditation,74
Timor-Leste,meditation,83
Togo,meditation,97
Tonga,meditation,100
Trinidad & Tobago,meditation,83
Tunisia,meditation,83
Turkmenistan,meditation,86
Turks & Caicos Islands,meditation,85
Türkiye,meditation,42
U.S. Virgin Islands,meditation,77
Uganda,meditation,89
Ukraine,meditation,73
United Arab Emirates,meditation,78
United Kingdom,meditation,69
United States,meditation,76
Uruguay,meditation,20
Uzbekistan,meditation,78
Vanuatu,meditation,100
Venezuela,meditation,29
Vietnam,meditation,69
Western Sahara,meditation,100
Yemen,meditation,75
Zambia,meditation,89
Zimbabwe,meditation,85
Åland Islands,meditation,89
Afghanistan,mindfulness,17
Albania,mindfulness,14
Algeria,mindfulness,16
American Samoa,mindfulness,0
Andorra,mindfulness,50
Angola,mindfulness,33
Antigua & Barbuda,mindfulness,17
Argentina,mindfulness,74
Armenia,mindfulness,15
Aruba,mindfulness,13
Australia,mindfulness,15
Austria,mindfulness,4
Azerbaijan,mindfulness,22
Bahamas,mindfulness,13
Bahrain,mindfulness,15
Bangladesh,mindfulness,13
Barbados,mindfulness,15
Belarus,mindfulness,27
Belgium,mindfulness,23
Belize,mindfulness,18
Benin,mindfulness,2
Bermuda,mindfulness,16
Bhutan,mindfulness,43
Bolivia,mindfulness,68
Bosnia & Herzegovina,mindfulness,20
Botswana,mindfulness,11
Brazil,mindfulness,68
British Virgin Islands,mindfulness,0
Brunei,mindfulness,24
Bulgaria,mindfulness,14
Burkina Faso,mindfulness,3
Burundi,mindfulness,0
Cambodia,mindfulness,17
Cameroon,mindfulness,2
Canada,mindfulness,13
Cape Verde,mindfulness,29
Caribbean Netherlands,mindfulness,23
Cayman Islands,mindfulness,14
Central African Republic,mindfulness,0
Chad,mindfulness,0
Chile,mindfulness,82
China,mindfulness,27
Colombia,mindfulness,74
Comoros,mindfulness,0
Congo - Brazzaville,mindfulness,0
Congo - Kinshasa,mindfulness,2
Cook Islands,mindfulness,0
Costa Rica,mindfulness,44
Croatia,mindfulness,26
Cuba,mindfulness,57
Curaçao,mindfulness,16
Cyprus,mindfulness,21
Czechia,mindfulness,37
Côte d’Ivoire,mindfulness,3
Denmark,mindfulness,31
Djibouti,mindfulness,0
Dominica,mindfulness,0
Dominican Republic,mindfulness,45
Ecuador,mindfulness,71
Egypt,mindfulness,20
El Salvador,mindfulness,64
Equatorial Guinea,mindfulness,0
Eritrea,mindfulness,0
Estonia,mindfulness,22
Eswatini,mindfulness,12
Ethiopia,mindfulness,17
Falkland Islands (Islas Malvinas),mindfulness,100
Faroe Islands,mindfulness,39
Fiji,mindfulness,11
Finland,mindfulness,45
France,mindfulness,3
French Guiana,mindfulness,0
French Polynesia,mindfulness,3
Gabon,mindfulness,2
Gambia,mindfulness,10
Georgia,mindfulness,18
Germany,mindfulness,4
Ghana,mindfulness,7
Gibraltar,mindfulness,14
Greece,mindfulness,22
Greenland,mindfulness,17
Grenada,mindfulness,12
Guadeloupe,mindfulness,2
Guam,mindfulness,23
Guatemala,mindfulness,62
Guernsey,mindfulness,22
Guinea,mindfulness,0
Guinea-Bissau,mindfulness,0
Guyana,mindfulness,17
Haiti,mindfulness,2
Honduras,mindfulness,60
