date,meditation,mindfulness,breathwork,yoga nidra,guided meditation
2020-07-26,92,21,1,3,6
2020-08-02,88,21,1,3,6
2020-08-09,90,20,1,2,6
2020-08-16,91,24,1,3,6
2020-08-23,89,23,1,3,5
2020-08-30,90,25,1,3,5
2020-09-06,93,25,1,3,5
2020-09-13,97,26,1,3,6
2020-09-20,86,24,1,3,5
2020-09-27,92,23,1,3,5
2020-10-04,91,22,1,2,5
2020-10-11,86,20,1,3,5
2020-10-18,83,21,1,2,5
2020-10-25,82,21,1,3,5
2020-11-01,78,19,1,2,5
2020-11-08,91,21,1,3,5
2020-11-15,85,22,1,3,5
2020-11-22,79,19,1,2,5
2020-11-29,84,20,1,2,5
2020-12-06,84,20,1,2,5
2020-12-13,83,19,1,2,5
2020-12-20,83,14,1,2,5
2020-12-27,94,17,1,2,5
2021-01-03,98,21,1,3,6
2021-01-10,91,20,1,3,5
2021-01-17,100,21,1,3,5
2021-01-24,92,21,1,3,6
2021-01-31,92,22,1,3,5
2021-02-07,88,21,1,2,5
2021-02-14,87,20,1,2,5
2021-02-21,88,22,1,2,6
2021-02-28,90,21,1,3,5
2021-03-07,86,20,1,2,5
2021-03-14,80,20,1,3,5
2021-03-21,86,20,1,3,5
2021-03-28,81,18,1,2,5
2021-04-04,84,19,1,2,5
2021-04-11,87,19,1,2,5
2021-04-18,87,21,2,2,5
2021-04-25,85,20,1,2,5
2021-05-02,86,20,1,2,5
2021-05-09,89,19,1,2,5
2021-05-16,86,19,1,2,5
2021-05-23,84,19,1,2,4
2021-05-30,81,18,1,2,4
2021-06-06,79,18,1,2,5
2021-06-13,80,18,1,2,4
2021-06-20,78,17,1,2,4
2021-06-27,76,17,1,2,4
2021-07-04,76,17,1,3,4
2021-07-11,78,17,1,3,4
2021-07-18,81,16,1,3,4
2021-07-25,78,17,1,3,4
2021-08-01,69,16,1,2,4
2021-08-08,79,16,1,2,5
2021-08-15,78,17,1,2,5
2021-08-22,77,17,1,3,4
2021-08-29,75,18,1,2,5
2021-09-05,79,18,1,2,4
2021-09-12,82,20,1,2,5
2021-09-19,81,19,1,2,4
2021-09-26,80,18,1,2,4
2021-10-03,79,18,1,3,5
2021-10-10,78,19,1,2,5
2021-10-17,79,19,1,2,4
2021-10-24,76,18,1,2,5
2021-10-31,80,19,1,2,4
2021-11-07,79,19,1,2,4
2021-11-14,82,19,1,2,4
2021-11-21,72,17,1,2,4
2021-11-28,76,19,1,2,4
2021-12-05,78,17,1,3,4
2021-12-12,76,17,1,2,4
2021-12-19,70,12,1,2,4
2021-12-26,76,13,1,2,4
2022-01-02,87,19,1,2,5
2022-01-09,84,20,1,2,4
2022-01-16,75,19,1,2,4
2022-01-23,81,22,1,3,4
2022-01-30,82,22,1,3,5
2022-02-06,82,21,1,3,4
2022-02-13,80,21,1,2,4
2022-02-20,79,19,1,2,4
2022-02-27,80,20,1,3,4
2022-03-06,78,20,1,3,4
2022-03-13,79,19,1,3,4
