country,breathwork,guided meditation,meditation,mindfulness,yoga nidra
Argentina,3.0,1.0,2.0,49.0,10.0
Australia,100.0,95.0,98.0,79.0,29.0
Austria,34.0,0.0,49.0,9.0,15.0
Bangladesh,3.0,0.0,10.0,6.0,0.0
Belgium,25.0,5.0,25.0,37.0,19.0
Bolivia,0.0,0.0,0.0,20.0,0.0
Brazil,3.0,0.0,2.0,21.0,1.0
Canada,45.0,61.0,71.0,51.0,23.0
Chile,3.0,0.0,0.0,55.0,3.0
Colombia,3.0,0.0,2.0,41.0,4.0
Costa Rica,32.0,0.0,0.0,37.0,0.0
Croatia,9.0,0.0,0.0,20.0,8.0
Czechia,10.0,0.0,7.0,20.0,4.0
Denmark,39.0,11.0,46.0,98.0,20.0
Dominican Republic,0.0,0.0,0.0,18.0,0.0
Ecuador,0.0,0.0,0.0,35.0,0.0
Egypt,4.0,1.0,6.0,7.0,0.0
Estonia,29.0,0.0,0.0,0.0,0.0
Finland,10.0,0.0,12.0,50.0,6.0
France,14.0,1.0,39.0,5.0,17.0
Germany,26.0,1.0,40.0,7.0,14.0
Ghana,0.0,0.0,31.0,0.0,0.0
Greece,15.0,4.0,11.0,15.0,7.0
Guatemala,0.0,0.0,0.0,23.0,0.0
Hong Kong,10.0,0.0,19.0,48.0,5.0
Hungary,6.0,0.0,8.0,25.0,3.0
Iceland,0.0,0.0,0.0,0.0,100.0
India,3.0,5.0,35.0,11.0,8.0
Indonesia,6.0,0.0,3.0,12.0,1.0
Iran,0.0,0.0,3.0,3.0,0.0
Ireland,71.0,100.0,100.0,100.0,39.0
Israel,9.0,5.0,14.0,15.0,3.0
Italy,4.0,1.0,5.0,46.0,9.0
Japan,0.0,0.0,1.0,1.0,0.0
Kenya,0.0,0.0,26.0,18.0,0.0
Malaysia,6.0,3.0,15.0,15.0,2.0
Mexico,6.0,1.0,3.0,36.0,2.0
Morocco,7.0,0.0,0.0,0.0,0.0
Nepal,0.0,0.0,51.0,0.0,0.0
Netherlands,48.0,7.0,17.0,78.0,53.0
New Zealand,70.0,56.0,70.0,68.0,27.0
Nigeria,0.0,0.0,16.0,8.0,0.0
Norway,28.0,9.0,18.0,45.0,24.0
Pakistan,4.0,2.0,14.0,15.0,0.0
Peru,3.0,0.0,0.0,38.0,1.0
Philippines,4.0,3.0,18.0,23.0,1.0
Poland,3.0,1.0,3.0,18.0,2.0
Portugal,23.0,7.0,14.0,52.0,9.0
Puerto Rico,0.0,0.0,0.0,43.0,0.0
Romania,9.0,3.0,9.0,18.0,4.0
Russia,3.0,1.0,3.0,4.0,1.0
Saudi Arabia,1.0,0.0,4.0,4.0,0.0
Serbia,0.0,0.0,0.0,0.0,4.0
Singapore,18.0,10.0,37.0,54.0,6.0
South Africa,21.0,25.0,37.0,19.0,6.0
South Korea,12.0,3.0,9.0,15.0,2.0
Spain,10.0,3.0,6.0,75.0,15.0
Sri Lanka,0.0,0.0,38.0,23.0,0.0
Sweden,40.0,9.0,36.0,57.0,31.0
Switzerland,56.0,6.0,60.0,22.0,39.0
Taiwan,3.0,0.0,4.0,8.0,1.0
Thailand,9.0,1.0,7.0,9.0,1.0
Türkiye,1.0,0.0,2.0,12.0,1.0
Ukraine,1.0,0.0,2.0,3.0,0.0
United Arab Emirates,18.0,9.0,25.0,21.0,5.0
United Kingdom,45.0,45.0,52.0,67.0,20.0
United States,32.0,43.0,48.0,40.0,12.0
Uruguay,0.0,0.0,0.0,55.0,15.0
Venezuela,0.0,0.0,0.0,22.0,2.0
Vietnam,9.0,2.0,7.0,10.0,2.0
