country,keyword,search_interest,share_of_global_interest
Argentina,meditation,2,0.0015503875968992248
Australia,meditation,98,0.07596899224806201
Austria,meditation,49,0.03798449612403101
Bangladesh,meditation,10,0.007751937984496124
Belgium,meditation,25,0.01937984496124031
Brazil,meditation,2,0.0015503875968992248
Canada,meditation,71,0.05503875968992248
Colombia,meditation,2,0.0015503875968992248
Czechia,meditation,7,0.005426356589147287
Denmark,meditation,46,0.03565891472868217
Egypt,meditation,6,0.004651162790697674
Finland,meditation,12,0.009302325581395349
France,meditation,39,0.030232558139534883
Germany,meditation,40,0.031007751937984496
Ghana,meditation,31,0.024031007751937984
Greece,meditation,11,0.008527131782945736
Hong Kong,meditation,19,0.014728682170542635
Hungary,meditation,8,0.006201550387596899
India,meditation,35,0.027131782945736434
Indonesia,meditation,3,0.002325581395348837
Iran,meditation,3,0.002325581395348837
Ireland,meditation,100,0.07751937984496124
Israel,meditation,14,0.010852713178294573
Italy,meditation,5,0.003875968992248062
Japan,meditation,1,0.0007751937984496124
Kenya,meditation,26,0.020155038759689922
Malaysia,meditation,15,0.011627906976744186
Mexico,meditation,3,0.002325581395348837
Nepal,meditation,51,0.03953488372093023
Netherlands,meditation,17,0.01317829457364341
New Zealand,meditation,70,0.05426356589147287
Nigeria,meditation,16,0.012403100775193798
Norway,meditation,18,0.013953488372093023
Pakistan,meditation,14,0.010852713178294573
Philippines,meditation,18,0.013953488372093023
Poland,meditation,3,0.002325581395348837
Portugal,meditation,14,0.010852713178294573
Romania,meditation,9,0.0069767441860465115
Russia,meditation,3,0.002325581395348837
Saudi Arabia,meditation,4,0.0031007751937984496
Singapore,meditation,37,0.02868217054263566
South Africa,meditation,37,0.02868217054263566
South Korea,meditation,9,0.0069767441860465115
Spain,meditation,6,0.004651162790697674
Sri Lanka,meditation,38,0.02945736434108527
Sweden,meditation,36,0.027906976744186046
Switzerland,meditation,60,0.046511627906976744
Taiwan,meditation,4,0.0031007751937984496
Thailand,meditation,7,0.005426356589147287
Türkiye,meditation,2,0.0015503875968992248
Ukraine,meditation,2,0.0015503875968992248
United Arab Emirates,meditation,25,0.01937984496124031
United Kingdom,meditation,52,0.040310077519379844
United States,meditation,48,0.037209302325581395
Vietnam,meditation,7,0.005426356589147287
Argentina,mindfulness,49,0.025012761613067893
Australia,mindfulness,79,0.04032669729453803
Austria,mindfulness,9,0.004594180704441042
Bangladesh,mindfulness,6,0.0030627871362940277
Belgium,mindfulness,37,0.018887187340479835
Bolivia,mindfulness,20,0.010209290454313425
Brazil,mindfulness,21,0.010719754977029096
Canada,mindfulness,51,0.026033690658499236
Chile,mindfulness,55,0.02807554874936192
Colombia,mindfulness,41,0.02092904543134252
Costa Rica,mindfulness,37,0.018887187340479835
Croatia,mindfulness,20,0.010209290454313425
Czechia,mindfulness,20,0.010209290454313425
Denmark,mindfulness,98,0.050025523226135786
Dominican Republic,mindfulness,18,0.009188361408882083
Ecuador,mindfulness,35,0.017866258295048495
Egypt,mindfulness,7,0.0035732516590096988
Finland,mindfulness,50,0.025523226135783564
France,mindfulness,5,0.002552322613578356
Germany,mindfulness,7,0.0035732516590096988
Greece,mindfulness,15,0.007656967840735069
Guatemala,mindfulness,23,0.01174068402246044
Hong Kong,mindfulness,48,0.02450229709035222
