date,meditation,mindfulness,breathwork,guided meditation,yoga nidra
2020-07-26,,,,,
2020-08-02,,,,,
2020-08-09,,,,,
2020-08-16,91.0,21.75,1.0,6.0,3.0
2020-08-23,90.75,22.0,1.0,6.0,3.0
2020-08-30,92.0,23.0,1.0,6.0,3.0
2020-09-06,91.75,24.25,1.0,6.0,3.0
2020-09-13,91.5,24.75,1.0,6.0,3.0
2020-09-20,92.25,25.5,1.0,5.75,3.0
2020-09-27,91.25,25.0,1.0,5.5,3.0
2020-10-04,91.0,24.5,1.0,5.5,3.0
2020-10-11,90.5,23.5,1.0,5.25,3.0
2020-10-18,88.25,22.25,1.0,5.25,2.75
2020-10-25,87.0,21.5,1.0,5.25,2.75
2020-11-01,83.5,20.0,1.0,5.0,2.5
2020-11-08,82.75,20.0,1.0,5.0,2.5
2020-11-15,83.75,19.75,1.0,5.0,2.75
2020-11-22,82.75,19.5,1.0,5.0,2.5
2020-11-29,85.25,20.25,1.0,5.0,2.5
2020-12-06,85.0,20.0,1.0,5.0,2.25
2020-12-13,83.75,19.75,1.0,5.0,2.0
2020-12-20,84.5,19.0,1.0,5.0,2.0
2020-12-27,85.75,18.25,1.0,5.0,2.0
2021-01-03,89.75,18.5,1.0,5.25,2.25
2021-01-10,93.0,19.0,1.0,5.5,2.5
2021-01-17,97.0,20.5,1.0,5.5,2.75
2021-01-24,97.25,21.5,1.0,5.75,3.0
2021-01-31,95.75,21.75,1.0,5.5,3.0
2021-02-07,94.0,21.75,1.0,5.25,2.75
2021-02-14,91.0,21.5,1.0,5.25,2.5
2021-02-21,90.0,21.5,1.0,5.25,2.25
2021-02-28,89.5,21.5,1.0,5.25,2.25
2021-03-07,89.75,21.5,1.0,5.25,2.25
2021-03-14,89.5,21.25,1.0,5.25,2.5
2021-03-21,88.5,20.5,1.0,5.0,2.75
2021-03-28,87.25,19.5,1.0,5.0,2.5
2021-04-04,86.0,19.25,1.0,5.0,2.5
2021-04-11,85.5,19.25,1.0,5.0,2.25
2021-04-18,85.0,20.0,1.25,5.0,2.0
2021-04-25,85.25,20.5,1.25,5.0,2.0
2021-05-02,85.25,20.5,1.25,5.0,2.25
2021-05-09,85.75,20.5,1.25,5.0,2.25
2021-05-16,86.5,20.0,1.0,5.0,2.25
2021-05-23,86.5,20.25,1.0,5.0,2.25
2021-05-30,85.5,20.0,1.0,4.75,2.0
2021-06-06,83.5,19.75,1.0,4.75,2.0
2021-06-13,82.0,19.25,1.0,4.5,2.0
2021-06-20,80.0,18.75,1.0,4.5,2.0
2021-06-27,79.0,18.25,1.0,4.5,2.0
2021-07-04,78.5,17.75,1.0,4.25,2.25
2021-07-11,77.5,17.5,1.0,4.25,2.5
2021-07-18,77.0,17.0,1.0,4.0,2.75
2021-07-25,78.75,16.75,1.0,4.25,3.0
2021-08-01,78.25,16.5,1.0,4.25,2.75
2021-08-08,77.75,16.5,1.0,4.5,2.5
2021-08-15,78.75,16.75,1.0,4.75,2.5
2021-08-22,77.25,17.0,1.0,4.5,2.5
2021-08-29,77.5,17.5,1.0,4.75,2.75
2021-09-05,79.5,17.75,1.0,4.5,2.75
2021-09-12,79.75,18.25,1.0,4.5,2.5
2021-09-19,81.5,18.5,1.0,4.5,2.25
2021-09-26,83.25,18.5,1.0,4.25,2.25
2021-10-03,83.0,19.0,1.0,4.5,2.5
2021-10-10,81.75,18.75,1.0,4.5,2.75
2021-10-17,81.0,19.25,1.0,4.5,2.75
2021-10-24,79.75,19.25,1.0,4.75,2.5
2021-10-31,78.5,19.0,1.0,4.5,2.25
2021-11-07,79.25,19.0,1.0,4.25,2.0
2021-11-14,79.25,18.75,1.0,4.25,2.0
2021-11-21,78.0,18.5,1.0,4.0,2.0
2021-11-28,77.5,18.25,1.0,4.0,2.0
2021-12-05,76.5,18.0,1.0,4.0,2.25
2021-12-12,75.75,17.75,1.0,4.0,2.25
2021-12-19,75.0,16.5,1.0,4.0,2.25
2021-12-26,75.25,15.25,1.0,4.0,2.25
2022-01-02,78.75,15.5,1.0,4.25,2.0
2022-01-09,80.25,16.0,1.0,4.25,2.25
2022-01-16,82.5,18.0,1.0,4.25,2.25
2022-01-23,83.5,20.5,1.0,4.25,2.5
2022-01-30,82.75,21.25,1.25,4.25,2.75
2022-02-06,82.0,21.5,1.25,4.25,2.75
2022-02-13,82.25,21.75,1.25,4.25,2.75
2022-02-20,82.0,21.0,1.25,4.25,2.5
2022-02-27,80.25,21.0,1.0,4.0,2.5
2022-03-06,79.75,21.0,1.0,4.0,2.5
2022-03-13,79.25,20.5,1.0,4.0,2.75
2022-03-20,79.5,20.5,1.0,4.0,3.0
2022-03-27,79.0,20.5,1.0,4.0,2.75
2022-04-03,78.25,20.5,1.0,4.0,2.75
2022-04-10,77.5,20.75,1.0,4.0,2.75
2022-04-17,75.5,20.5,1.0,4.0,2.5
2022-04-24,75.75,20.25,1.0,4.0,2.75
2022-05-01,75.25,20.25,1.0,4.0,2.75
2022-05-08,75.5,20.5,1.25,4.0,2.75
2022-05-15,76.25,20.5,1.25,4.0,3.0
2022-05-22,75.0,20.25,1.25,4.0,2.75
2022-05-29,74.5,19.25,1.25,4.0,2.5
2022-06-05,73.5,18.5,1.0,3.75,2.5
2022-06-12,73.75,18.25,1.0,3.75,2.5
2022-06-19,74.5,17.75,1.0,3.75,2.75
2022-06-26,76.75,17.75,1.0,3.75,2.75
2022-07-03,77.0,17.5,1.0,4.0,2.5
2022-07-10,76.25,17.5,1.25,4.0,2.25
2022-07-17,76.0,17.0,1.25,4.0,2.25
2022-07-24,75.0,16.75,1.25,4.0,2.5
2022-07-31,75.25,16.5,1.25,4.0,2.75
2022-08-07,76.0,16.25,1.25,4.0,3.0
2022-08-14,75.25,16.5,1.25,4.0,3.0
2022-08-21,74.75,17.0,1.5,4.0,3.0
2022-08-28,74.75,17.75,1.75,3.75,3.0
2022-09-04,74.0,18.25,1.75,3.75,3.0
2022-09-11,75.75,19.25,1.75,3.75,3.0
2022-09-18,76.0,19.5,1.5,3.75,3.0
2022-09-25,75.75,19.5,1.5,4.0,3.0
2022-10-02,75.5,19.5,1.5,4.0,3.0
2022-10-09,74.75,19.25,1.75,4.0,3.0
2022-10-16,75.25,19.5,1.75,4.0,3.0
2022-10-23,76.0,19.5,1.5,4.0,3.0
2022-10-30,76.75,19.5,1.5,4.0,3.0
2022-11-06,77.0,19.75,1.5,4.0,3.0
2022-11-13,78.0,20.0,1.75,4.0,3.0
2022-11-20,77.0,19.5,2.0,3.75,3.0
2022-11-27,76.75,19.5,2.0,3.75,3.0
2022-12-04,76.75,18.75,2.0,3.75,3.0
2022-12-11,75.5,18.0,1.75,3.5,3.0
2022-12-18,75.25,17.5,1.75,3.5,3.0
2022-12-25,74.75,16.25,1.5,3.25,3.0
2023-01-01,77.25,16.25,1.5,3.25,3.0
2023-01-08,78.75,16.75,1.75,3.5,3.0
2023-01-15,81.25,17.75,1.75,3.75,3.25
2023-01-22,83.75,19.25,2.0,4.0,3.5
2023-01-29,82.0,20.0,2.0,4.0,3.5
2023-02-05,80.5,20.0,2.0,4.0,3.5
2023-02-12,80.25,20.0,2.0,4.0,3.5
2023-02-19,81.25,19.75,2.0,4.0,3.5
2023-02-26,80.5,19.25,2.0,4.0,3.75
2023-03-05,81.5,19.25,2.0,4.0,3.75
2023-03-12,81.5,19.25,2.0,4.0,3.5
2023-03-19,80.75,19.25,2.0,4.0,3.25
2023-03-26,80.5,19.5,2.0,4.0,3.0
2023-04-02,79.75,18.75,2.0,4.0,3.0
2023-04-09,78.25,18.5,2.0,3.75,3.0
2023-04-16,76.25,18.75,2.0,3.75,3.0
2023-04-23,75.5,19.5,2.0,3.5,3.0
2023-04-30,75.5,20.25,2.0,3.25,3.0
2023-05-07,75.5,20.25,2.0,3.25,3.0
2023-05-14,75.5,20.0,2.0,3.0,3.0
2023-05-21,75.0,19.0,2.0,3.0,3.0
2023-05-28,73.25,18.5,2.0,3.0,3.0
2023-06-04,72.75,18.75,2.0,3.0,3.0
2023-06-11,71.5,18.25,2.0,3.0,3.0
2023-06-18,72.25,17.75,2.0,3.0,3.0
2023-06-25,72.75,17.25,2.0,3.0,3.0
2023-07-02,72.75,16.5,2.0,3.0,3.0
2023-07-09,73.25,16.5,2.0,3.0,3.0
2023-07-16,73.0,16.5,2.0,3.0,3.0
2023-07-23,74.25,16.5,2.0,3.0,3.0
2023-07-30,74.0,16.25,2.0,3.0,3.0
2023-08-06,72.75,16.0,2.0,3.0,3.0
2023-08-13,72.5,15.75,2.0,3.0,3.0
2023-08-20,71.0,16.0,2.0,3.0,3.0
2023-08-27,71.75,16.75,2.0,3.0,3.0
2023-09-03,73.5,17.25,2.0,3.0,3.0
2023-09-10,73.25,18.0,2.0,3.0,3.0
2023-09-17,74.0,19.0,2.0,3.0,3.0
2023-09-24,74.25,19.5,2.0,3.0,3.0
2023-10-01,74.0,19.75,2.0,3.0,3.0
2023-10-08,74.75,20.0,2.0,3.0,3.0
2023-10-15,74.0,19.75,2.0,3.0,3.0
2023-10-22,73.0,19.5,2.0,3.0,3.0
2023-10-29,71.0,19.25,2.0,3.0,3.0
2023-11-05,70.5,18.75,2.0,3.0,3.0
2023-11-12,70.0,18.5,2.0,3.0,3.0
2023-11-19,69.0,18.0,2.0,3.0,3.0
2023-11-26,70.25,18.0,2.0,3.0,3.0
2023-12-03,70.0,18.25,2.0,3.0,3.0
2023-12-10,70.5,18.0,2.0,3.0,3.0
2023-12-17,70.75,17.5,2.0,3.0,3.0
2023-12-24,69.75,16.25,2.0,3.0,3.0
2023-12-31,70.0,15.75,2.0,3.0,3.0
2024-01-07,70.75,16.0,2.25,3.0,3.0
2024-01-14,72.0,16.75,2.5,3.0,3.0
2024-01-21,73.5,18.25,2.75,3.0,3.0
2024-01-28,74.5,19.0,3.0,3.0,3.25
2024-02-04,74.75,19.5,3.0,3.0,3.25
2024-02-11,75.0,19.5,2.75,3.0,3.25
2024-02-18,75.75,19.75,2.75,3.0,3.25
2024-02-25,75.5,19.5,2.75,3.0,3.0
2024-03-03,75.0,19.0,2.5,3.0,3.0
2024-03-10,74.0,19.5,2.75,3.0,3.0
2024-03-17,75.75,19.5,2.5,3.0,3.0
2024-03-24,75.0,19.0,2.5,3.0,3.0
2024-03-31,73.75,18.5,2.75,3.0,3.0
2024-04-07,74.0,18.0,2.5,3.0,3.0
2024-04-14,69.75,17.75,2.75,3.0,3.0
2024-04-21,68.25,18.0,2.75,3.0,3.0
2024-04-28,68.25,18.5,2.75,3.0,3.0
2024-05-05,66.75,18.25,3.0,3.0,3.0
2024-05-12,67.25,18.25,3.0,3.0,3.0
2024-05-19,67.0,18.25,2.75,3.0,3.0
2024-05-26,66.75,17.75,2.5,3.0,3.0
2024-06-02,67.0,18.0,2.25,3.0,3.0
2024-06-09,67.25,17.5,2.0,3.0,3.0
2024-06-16,67.5,17.25,2.25,3.0,3.0
2024-06-23,66.75,16.75,2.5,3.0,3.0
2024-06-30,66.0,16.25,2.5,3.0,3.0
2024-07-07,65.25,16.0,2.75,3.0,3.0
2024-07-14,64.25,15.5,2.75,3.0,3.0
2024-07-21,63.5,15.75,2.5,3.0,3.0
2024-07-28,64.0,15.75,2.75,3.0,3.0
2024-08-04,64.0,15.5,2.75,3.0,3.0
2024-08-11,64.5,15.75,2.75,3.0,3.0
2024-08-18,65.75,16.25,3.0,3.0,3.0
2024-08-25,66.5,16.75,3.0,3.0,3.0
2024-09-01,67.0,17.75,3.0,3.0,3.0
2024-09-08,68.25,19.0,2.75,3.0,3.0
2024-09-15,68.75,19.5,2.75,3.0,3.0
2024-09-22,69.0,20.25,2.75,3.0,3.25
2024-09-29,69.0,20.5,2.75,3.0,3.25
2024-10-06,67.5,20.5,2.75,3.0,3.25
2024-10-13,66.0,20.75,2.75,3.0,3.25
2024-10-20,64.75,20.5,2.75,3.0,3.0
2024-10-27,63.5,20.5,2.75,3.0,3.0
2024-11-03,63.25,21.25,3.0,3.0,3.0
2024-11-10,64.25,22.0,3.0,3.0,3.0
2024-11-17,65.25,22.75,3.0,3.0,3.0
2024-11-24,65.5,23.0,3.0,3.0,3.0
2024-12-01,65.75,22.0,3.0,3.0,3.0
2024-12-08,65.0,20.75,3.0,3.0,3.0
2024-12-15,65.25,19.0,2.75,3.0,3.0
2024-12-22,64.75,16.5,2.5,2.75,2.75
2024-12-29,66.25,15.0,2.5,2.75,2.75
2025-01-05,68.25,15.0,2.5,2.75,2.75
2025-01-12,68.5,16.0,2.75,2.75,2.75
2025-01-19,71.5,17.75,3.0,3.0,3.0
2025-01-26,71.75,19.25,3.0,3.0,3.0
2025-02-02,70.5,19.5,3.0,3.0,3.0
2025-02-09,69.75,19.5,3.0,3.0,3.0
2025-02-16,68.25,19.75,3.0,3.0,3.0
2025-02-23,66.75,19.75,3.0,3.0,3.0
2025-03-02,66.75,19.5,3.0,3.0,3.0
2025-03-09,66.5,19.25,3.0,3.0,3.0
2025-03-16,66.0,19.25,3.0,3.0,3.0
2025-03-23,66.25,19.0,3.0,3.0,3.0
2025-03-30,66.25,19.0,3.0,3.0,3.0
2025-04-06,66.5,19.0,3.0,3.0,3.0
2025-04-13,65.75,18.25,3.0,3.0,3.0
2025-04-20,65.25,18.0,3.0,3.0,3.0
2025-04-27,63.75,17.75,3.0,3.0,3.0
2025-05-04,62.0,17.5,3.0,3.0,3.0
2025-05-11,62.25,18.0,3.0,3.0,3.0
2025-05-18,61.25,18.0,3.0,3.0,3.0
2025-05-25,60.5,17.5,3.0,3.0,3.0
2025-06-01,61.5,17.75,3.0,3.0,3.0
2025-06-08,61.75,17.75,3.0,3.0,3.0
2025-06-15,62.25,17.75,3.0,3.0,3.0
2025-06-22,64.0,18.25,3.0,3.0,3.0
2025-06-29,63.0,17.5,3.0,3.0,3.0
2025-07-06,63.5,17.75,3.0,3.0,3.0
2025-07-13,64.5,17.75,3.0,3.25,3.0
2025-07-20,65.5,18.25,3.0,3.5,3.0
2025-07-27,67.75,19.0,3.0,3.75,3.0
