keyword,breathwork,breathwork,guided meditation,guided meditation,meditation,meditation,mindfulness,mindfulness,yoga nidra,yoga nidra
query_type,rising,top,rising,top,rising,top,rising,top,rising,top
related_query,,,,,,,,,,
10 minute guided meditation,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0
10 minute guided meditation for sleep,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15 minute guided meditation,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20 minute guided meditation,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30 minute guided meditation,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5 minute meditation,0.0,0.0,0.0,0.0,110.0,0.0,0.0,0.0,0.0,0.0
5 minute meditation guided,0.0,0.0,90.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9d breathwork,11100.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anabel otero yoga nidra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27900.0,0.0
andrew huberman,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8150.0,0.0
andrew huberman yoga nidra,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3650.0,0.0
anika henkelmann meditation,0.0,0.0,0.0,0.0,10850.0,0.0,0.0,0.0,0.0,0.0
best breathwork app,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
best guided meditation,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0
best guided meditation youtube,0.0,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
best guided sleep meditation jason stephenson,0.0,0.0,950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
boho beautiful meditation,0.0,0.0,0.0,0.0,700.0,0.0,0.0,0.0,0.0,0.0
breath work,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
breathwork app,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
breathwork ausbildung,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
breathwork benefits,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
breathwork certification,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
breathwork class,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
breathwork class london,750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
breathwork class near me,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
breathwork classes,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
breathwork coach,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
breathwork course,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
breathwork facilitator,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
