date,meditation,mindfulness,breathwork,guided meditation,yoga nidra
2020-07-26,90,22,1,6,3
2020-08-02,89,21,1,6,3
2020-08-09,95,21,1,6,3
2020-08-16,90,23,1,6,3
2020-08-23,89,23,1,6,3
2020-08-30,94,25,1,6,3
2020-09-06,94,26,1,6,3
2020-09-13,89,25,1,6,3
2020-09-20,92,26,1,5,3
2020-09-27,90,23,1,5,3
2020-10-04,93,24,1,6,3
2020-10-11,87,21,1,5,3
2020-10-18,83,21,1,5,2
2020-10-25,85,20,1,5,3
2020-11-01,79,18,1,5,2
2020-11-08,84,21,1,5,3
2020-11-15,87,20,1,5,3
2020-11-22,81,19,1,5,2
2020-11-29,89,21,1,5,2
2020-12-06,83,20,1,5,2
2020-12-13,82,19,1,5,2
2020-12-20,84,16,1,5,2
2020-12-27,94,18,1,5,2
2021-01-03,99,21,1,6,3
2021-01-10,95,21,1,6,3
2021-01-17,100,22,1,5,3
2021-01-24,95,22,1,6,3
2021-01-31,93,22,1,5,3
2021-02-07,88,21,1,5,2
2021-02-14,88,21,1,5,2
2021-02-21,91,22,1,6,2
2021-02-28,91,22,1,5,3
2021-03-07,89,21,1,5,2
2021-03-14,87,20,1,5,3
2021-03-21,87,19,1,5,3
2021-03-28,86,18,1,5,2
2021-04-04,84,20,1,5,2
2021-04-11,85,20,1,5,2
2021-04-18,85,22,2,5,2
2021-04-25,87,20,1,5,2
2021-05-02,84,20,1,5,3
2021-05-09,87,20,1,5,2
2021-05-16,88,20,1,5,2
2021-05-23,87,21,1,5,2
2021-05-30,80,19,1,4,2
2021-06-06,79,19,1,5,2
2021-06-13,82,18,1,4,2
2021-06-20,79,19,1,5,2
2021-06-27,76,17,1,4,2
2021-07-04,77,17,1,4,3
2021-07-11,78,17,1,4,3
2021-07-18,77,17,1,4,3
2021-07-25,83,16,1,5,3
2021-08-01,75,16,1,4,2
2021-08-08,76,17,1,5,2
2021-08-15,81,18,1,5,3
2021-08-22,77,17,1,4,3
2021-08-29,76,18,1,5,3
2021-09-05,84,18,1,4,2
2021-09-12,82,20,1,5,2
2021-09-19,84,18,1,4,2
2021-09-26,83,18,1,4,3
2021-10-03,83,20,1,5,3
2021-10-10,77,19,1,5,3
2021-10-17,81,20,1,4,2
2021-10-24,78,18,1,5,2
2021-10-31,78,19,1,4,2
2021-11-07,80,19,1,4,2
2021-11-14,81,19,1,4,2
2021-11-21,73,17,1,4,2
2021-11-28,76,18,1,4,2
2021-12-05,76,18,1,4,3
2021-12-12,78,18,1,4,2
2021-12-19,70,12,1,4,2
2021-12-26,77,13,1,4,2
2022-01-02,90,19,1,5,2
2022-01-09,84,20,1,4,3
2022-01-16,79,20,1,4,2
2022-01-23,81,23,1,4,3
2022-01-30,87,22,2,5,3
2022-02-06,81,21,1,4,3
2022-02-13,80,21,1,4,2
2022-02-20,80,20,1,4,2
2022-02-27,80,22,1,4,3
2022-03-06,79,21,1,4,3
