,keyword,query,type,value
0,meditation,sleep meditation,top,100
1,meditation,meditation music,top,99
2,meditation,guided meditation,top,74
3,meditation,meditation youtube,top,73
4,meditation,yoga,top,55
5,meditation,yoga meditation,top,53
6,meditation,what is meditation,top,43
7,meditation,meditation meaning,top,35
8,meditation,mindfulness meditation,top,33
9,meditation,mindfulness,top,33
10,meditation,meditation for sleep,top,31
11,meditation,morning meditation,top,29
12,meditation,healing meditation,top,26
13,meditation,transcendental meditation,top,23
14,meditation,meditation app,top,23
15,meditation,vipassana meditation,top,21
16,meditation,vipassana,top,21
17,meditation,meditation benefits,top,21
18,meditation,meditation near me,top,21
19,meditation,kids meditation,top,19
20,meditation,chakra meditation,top,19
21,meditation,joe dispenza meditation,top,17
22,meditation,meditation retreat,top,17
23,meditation,meditation for anxiety,top,17
24,meditation,guided meditation sleep,top,17
25,meditation,anika henkelmann meditation,rising,10850
26,meditation,pipersong meditation chair,rising,9500
27,meditation,replica matcha meditation,rising,6700
28,meditation,matcha meditation,rising,2300
29,meditation,joe dispenza morning meditation,rising,750
30,meditation,boho beautiful meditation,rising,700
31,meditation,mady morrison meditation,rising,650
32,meditation,mindful movement sleep meditation,rising,600
33,meditation,meditation centre near me,rising,500
34,meditation,peter beer meditation,rising,300
35,meditation,meditation pour dormir,rising,250
36,meditation,joe dispenza meditation,rising,250
37,meditation,meditation zum einschlafen,rising,250
38,meditation,meditation kaise kare,rising,200
39,meditation,joe dispenza,rising,200
40,meditation,meditation einschlafen,rising,200
41,meditation,meditation cedric michel,rising,190
42,meditation,dr joe dispenza meditation,rising,180
43,meditation,mike meditation,rising,140
44,meditation,ohrinsel meditation,rising,140
45,meditation,meditation lacher prise,rising,130
46,meditation,meditation meaning in hindi,rising,110
47,meditation,5 minute meditation,rising,110
48,meditation,meditation du matin,rising,110
49,meditation,vipassana meditation centre,rising,110
50,mindfulness,meditation,top,100
51,mindfulness,mindfulness meditation,top,95
52,mindfulness,what is mindfulness,top,43
53,mindfulness,mindfulness meaning,top,35
54,mindfulness,mindfulness que es,top,28
55,mindfulness,mindfulness pdf,top,26
56,mindfulness,mindfulness for kids,top,23
57,mindfulness,mindfulness therapy,top,22
58,mindfulness,mindful,top,22
59,mindfulness,mindfulness practice,top,22
60,mindfulness,youtube mindfulness,top,20
61,mindfulness,mindfulness activities,top,19
62,mindfulness,mindfulness training,top,18
63,mindfulness,mindfulness yoga,top,18
64,mindfulness,mindfulness app,top,18
65,mindfulness,meditation and mindfulness,top,18
66,mindfulness,mindfulness definition,top,18
67,mindfulness,mindfulness music,top,16
68,mindfulness,mindfulness exercises,top,16
69,mindfulness,mindfulness book,top,15
70,mindfulness,mindfulness colouring,top,14
71,mindfulness,mindfulness online,top,13
72,mindfulness,mindfulness books,top,13
73,mindfulness,mindfulness techniques,top,11
74,mindfulness,mindfulness for anxiety,top,11
75,mindfulness,mindfulness para asesinos,rising,18250
76,mindfulness,mindfulness que es y como se práctica,rising,3050
77,mindfulness,mindfulness artinya,rising,950
78,mindfulness,mindfulness adalah,rising,600
79,mindfulness,mindfulness traducción,rising,500
80,mindfulness,mindfulness cos'è,rising,450
81,mindfulness,mindfulness co to,rising,350
82,mindfulness,meditación guiada mindfulness,rising,300
83,mindfulness,mindfulness meaning in hindi,rising,250
84,mindfulness,mindfulness significato,rising,250
85,mindfulness,mindfulness nedir,rising,250
86,mindfulness,mindfulness practices,rising,250
87,mindfulness,mindfulness ne demek,rising,250
88,mindfulness,mindfulness o que é,rising,250
89,mindfulness,mindfulness là gì,rising,250
90,mindfulness,mindfulness meaning,rising,190
91,mindfulness,meditación mindfulness,rising,190
92,mindfulness,que es el mindfulness,rising,180
93,mindfulness,mindfulness jelentése,rising,180
94,mindfulness,meaning of mindfulness,rising,180
95,mindfulness,mindfulness que es y para que sirve,rising,180
96,mindfulness,mindfulness que es,rising,170
97,mindfulness,mindfulness para dormir,rising,170
98,mindfulness,mindfulness คือ,rising,140
99,mindfulness,mindfulness traduzione,rising,130
100,breathwork,holotropic breathwork,top,100
101,breathwork,breathwork training,top,59
102,breathwork,breathwork meditation,top,41
103,breathwork,what is breathwork,top,36
104,breathwork,breathwork near me,top,32
105,breathwork,somatic breathwork,top,28
106,breathwork,breathwork online,top,22
107,breathwork,breathwork benefits,top,22
108,breathwork,breath work,top,16
109,breathwork,breathwork classes,top,16
110,breathwork,breathwork certification,top,15
111,breathwork,breathwork course,top,14
112,breathwork,breathwork class,top,14
113,breathwork,breathwork therapy,top,14
114,breathwork,breathwork facilitator,top,14
115,breathwork,breathwork app,top,13
116,breathwork,breathwork youtube,top,13
117,breathwork,wim hof,top,12
118,breathwork,wim hof breathwork,top,12
119,breathwork,9d breathwork,top,12
120,breathwork,breathwork retreat,top,12
121,breathwork,breathwork techniques,top,12
122,breathwork,breathwork meaning,top,11
123,breathwork,rebirthing breathwork,top,11
124,breathwork,breathwork coach,top,11
125,breathwork,gary brecka breathwork,rising,31500
126,breathwork,somatic release breathwork,rising,30450
127,breathwork,othership breathwork,rising,25650
128,breathwork,breathwork sessie,rising,19950
129,breathwork,9d breathwork,rising,11100
130,breathwork,owaken breathwork,rising,3250
131,breathwork,witality breathwork,rising,2850
132,breathwork,somatic breathwork near me,rising,900
133,breathwork,breathwork o que é,rising,800
134,breathwork,breathwork class london,rising,750
135,breathwork,the breathwork movement,rising,650
136,breathwork,somatic breathwork,rising,550
137,breathwork,formation breathwork,rising,500
138,breathwork,tim morrison breathwork,rising,400
139,breathwork,inward breathwork,rising,350
140,breathwork,breathwork instructor,rising,350
141,breathwork,breathwork que es,rising,300
142,breathwork,breathwork ausbildung,rising,300
143,breathwork,breathwork class near me,rising,300
144,breathwork,best breathwork app,rising,250
145,breathwork,neurodynamic breathwork,rising,250
146,breathwork,conscious connected breathwork,rising,200
147,breathwork,somatic therapy,rising,200
148,breathwork,morning breathwork,rising,200
149,breathwork,breathwork movement,rising,190
150,guided meditation,sleep meditation,top,100
151,guided meditation,sleep guided meditation,top,95
152,guided meditation,meditation for sleep,top,34
153,guided meditation,guided meditation for sleep,top,34
154,guided meditation,guided meditation youtube,top,33
155,guided meditation,youtube meditation,top,31
156,guided meditation,guided meditation anxiety,top,22
157,guided meditation,guided meditation for anxiety,top,19
158,guided meditation,guided meditation healing,top,19
159,guided meditation,meditation for anxiety,top,18
160,guided meditation,best guided meditation,top,17
161,guided meditation,guided meditation script,top,15
162,guided meditation,jason stephenson guided meditation,top,15
163,guided meditation,free guided meditation,top,15
164,guided meditation,guided meditation morning,top,11
165,guided meditation,mindfulness guided meditation,top,10
166,guided meditation,mindfulness meditation,top,10
167,guided meditation,mindfulness,top,9
168,guided meditation,guided meditation music,top,9
169,guided meditation,guided meditation kids,top,9
170,guided meditation,guided meditation for healing,top,9
171,guided meditation,chakra meditation guided,top,9
172,guided meditation,10 minute guided meditation,top,9
173,guided meditation,self guided meditation,top,8
174,guided meditation,meditation music,top,8
175,guided meditation,jason stephenson guided meditation sleep 30 minutes,rising,2650
176,guided meditation,guided meditation for anxiety and overthinking,rising,1750
177,guided meditation,best guided sleep meditation jason stephenson,rising,950
178,guided meditation,free guided meditation for sleep and anxiety,rising,450
179,guided meditation,joe dispenza guided meditation,rising,190
180,guided meditation,guided meditation for anxiety and sleep,rising,130
181,guided meditation,ram dass guided meditation,rising,130
182,guided meditation,15 minute guided meditation,rising,110
183,guided meditation,what is guided meditation,rising,110
184,guided meditation,jason stephenson guided meditation,rising,110
185,guided meditation,guided meditation for healing the body,rising,100
186,guided meditation,youtube guided meditation for anxiety,rising,100
187,guided meditation,10 minute guided meditation for sleep,rising,100
188,guided meditation,30 minute guided meditation,rising,90
189,guided meditation,guided meditation for stress and anxiety,rising,90
190,guided meditation,guided meditation for anxiety,rising,90
191,guided meditation,5 minute meditation guided,rising,90
192,guided meditation,20 minute guided meditation,rising,80
193,guided meditation,guided meditation 5 minutes,rising,80
194,guided meditation,guided meditation for sleep and healing,rising,80
195,guided meditation,meditation for anxiety,rising,80
196,guided meditation,guided meditation for self love,rising,70
197,guided meditation,best guided meditation youtube,rising,70
198,guided meditation,free guided meditation for sleep,rising,60
