country,keyword,total_interest
Australia,breathwork,100
Ireland,breathwork,70
New Zealand,breathwork,69
Switzerland,breathwork,55
Netherlands,breathwork,48
Canada,breathwork,44
United Kingdom,breathwork,44
Denmark,breathwork,38
Sweden,breathwork,36
Austria,breathwork,32
United States,breathwork,32
Costa Rica,breathwork,30
Belgium,breathwork,26
Norway,breathwork,26
Germany,breathwork,25
Portugal,breathwork,22
South Africa,breathwork,20
Singapore,breathwork,19
United Arab Emirates,breathwork,17
Greece,breathwork,16
France,breathwork,14
Czechia,breathwork,11
Finland,breathwork,11
Hong Kong,breathwork,11
South Korea,breathwork,11
Spain,breathwork,11
Israel,breathwork,8
Romania,breathwork,8
Thailand,breathwork,8
Hungary,breathwork,7
Morocco,breathwork,7
Vietnam,breathwork,7
Indonesia,breathwork,5
Malaysia,breathwork,5
Mexico,breathwork,5
Egypt,breathwork,4
Italy,breathwork,4
Pakistan,breathwork,4
Philippines,breathwork,4
Argentina,breathwork,2
Bangladesh,breathwork,2
Brazil,breathwork,2
Chile,breathwork,2
Colombia,breathwork,2
India,breathwork,2
Peru,breathwork,2
Poland,breathwork,2
Russia,breathwork,2
Taiwan,breathwork,2
Saudi Arabia,breathwork,1
Türkiye,breathwork,1
Ukraine,breathwork,1
Ireland,guided meditation,100
Australia,guided meditation,95
Canada,guided meditation,60
New Zealand,guided meditation,54
United Kingdom,guided meditation,45
United States,guided meditation,44
South Africa,guided meditation,23
Denmark,guided meditation,12
Singapore,guided meditation,10
Norway,guided meditation,9
Sweden,guided meditation,9
United Arab Emirates,guided meditation,8
Netherlands,guided meditation,7
Portugal,guided meditation,7
Belgium,guided meditation,6
India,guided meditation,6
Israel,guided meditation,6
Switzerland,guided meditation,6
Greece,guided meditation,4
South Korea,guided meditation,4
Malaysia,guided meditation,3
Philippines,guided meditation,3
Romania,guided meditation,3
Spain,guided meditation,3
Egypt,guided meditation,2
Germany,guided meditation,2
Pakistan,guided meditation,2
Thailand,guided meditation,2
Vietnam,guided meditation,2
Argentina,guided meditation,1
France,guided meditation,1
Italy,guided meditation,1
Mexico,guided meditation,1
Russia,guided meditation,1
Taiwan,guided meditation,1
Ireland,meditation,100
Australia,meditation,94
Canada,meditation,70
New Zealand,meditation,63
Switzerland,meditation,61
United Kingdom,meditation,51
Nepal,meditation,49
United States,meditation,48
Austria,meditation,46
Denmark,meditation,46
Germany,meditation,41
France,meditation,38
Sri Lanka,meditation,37
Singapore,meditation,36
South Africa,meditation,36
Sweden,meditation,36
India,meditation,35
Ghana,meditation,32
Belgium,meditation,25
Kenya,meditation,25
United Arab Emirates,meditation,24
Hong Kong,meditation,19
Philippines,meditation,18
Netherlands,meditation,17
Norway,meditation,17
Nigeria,meditation,16
Malaysia,meditation,15
Israel,meditation,14
Pakistan,meditation,14
Portugal,meditation,13
Finland,meditation,12
Greece,meditation,11
Bangladesh,meditation,10
Romania,meditation,9
South Korea,meditation,9
Hungary,meditation,8
Czechia,meditation,7
Thailand,meditation,7
Vietnam,meditation,7
Spain,meditation,6
Egypt,meditation,5
Italy,meditation,5
Saudi Arabia,meditation,4
Taiwan,meditation,4
Indonesia,meditation,3
Iran,meditation,3
Mexico,meditation,3
Poland,meditation,3
Russia,meditation,3
Argentina,meditation,2
Colombia,meditation,2
Türkiye,meditation,2
Ukraine,meditation,2
Brazil,meditation,1
Japan,meditation,1
Ireland,mindfulness,100
Denmark,mindfulness,94
Australia,mindfulness,78
Netherlands,mindfulness,77
Spain,mindfulness,70
United Kingdom,mindfulness,64
New Zealand,mindfulness,63
Chile,mindfulness,55
Sweden,mindfulness,55
Singapore,mindfulness,53
Uruguay,mindfulness,52
Argentina,mindfulness,48
Hong Kong,mindfulness,48
Portugal,mindfulness,48
Finland,mindfulness,47
Canada,mindfulness,46
Italy,mindfulness,44
Puerto Rico,mindfulness,41
Norway,mindfulness,40
Colombia,mindfulness,39
United States,mindfulness,39
Costa Rica,mindfulness,36
Mexico,mindfulness,36
Peru,mindfulness,36
Belgium,mindfulness,35
Ecuador,mindfulness,34
Hungary,mindfulness,25
Sri Lanka,mindfulness,24
Philippines,mindfulness,23
Venezuela,mindfulness,22
Brazil,mindfulness,21
Guatemala,mindfulness,21
Switzerland,mindfulness,21
Croatia,mindfulness,20
Bolivia,mindfulness,19
Czechia,mindfulness,19
South Africa,mindfulness,19
United Arab Emirates,mindfulness,19
Poland,mindfulness,18
Dominican Republic,mindfulness,17
Kenya,mindfulness,17
Romania,mindfulness,17
Greece,mindfulness,15
Malaysia,mindfulness,15
Pakistan,mindfulness,15
South Korea,mindfulness,14
Israel,mindfulness,13
Indonesia,mindfulness,12
Türkiye,mindfulness,12
India,mindfulness,10
Vietnam,mindfulness,10
Austria,mindfulness,9
Nigeria,mindfulness,8
Taiwan,mindfulness,8
Thailand,mindfulness,8
Germany,mindfulness,7
Bangladesh,mindfulness,6
Egypt,mindfulness,6
France,mindfulness,5
Russia,mindfulness,4
Saudi Arabia,mindfulness,4
Iran,mindfulness,3
Ukraine,mindfulness,3
Japan,mindfulness,1
Iceland,yoga nidra,100
Netherlands,yoga nidra,53
Switzerland,yoga nidra,41
Ireland,yoga nidra,40
Sweden,yoga nidra,34
Australia,yoga nidra,31
New Zealand,yoga nidra,28
Norway,yoga nidra,26
Canada,yoga nidra,25
Belgium,yoga nidra,22
Denmark,yoga nidra,21
United Kingdom,yoga nidra,21
France,yoga nidra,18
Austria,yoga nidra,16
Spain,yoga nidra,16
Uruguay,yoga nidra,16
Germany,yoga nidra,15
United States,yoga nidra,13
Argentina,yoga nidra,11
Italy,yoga nidra,9
Portugal,yoga nidra,9
Croatia,yoga nidra,8
India,yoga nidra,8
Finland,yoga nidra,7
Greece,yoga nidra,7
Singapore,yoga nidra,7
South Africa,yoga nidra,6
Hong Kong,yoga nidra,5
United Arab Emirates,yoga nidra,5
Colombia,yoga nidra,4
Czechia,yoga nidra,4
Romania,yoga nidra,4
Serbia,yoga nidra,4
Chile,yoga nidra,3
Hungary,yoga nidra,3
Israel,yoga nidra,3
Brazil,yoga nidra,2
Malaysia,yoga nidra,2
Mexico,yoga nidra,2
Poland,yoga nidra,2
South Korea,yoga nidra,2
