date,keyword,search_interest
2020-08-16,breathwork,20
2020-08-16,guided meditation,97
2020-08-16,meditation,91
2020-08-16,mindfulness,73
2020-08-16,yoga nidra,61
2020-08-23,breathwork,20
2020-08-23,guided meditation,94
2020-08-23,meditation,92
2020-08-23,mindfulness,75
2020-08-23,yoga nidra,64
2020-08-30,breathwork,18
2020-08-30,guided meditation,95
2020-08-30,meditation,96
2020-08-30,mindfulness,80
2020-08-30,yoga nidra,65
2020-09-06,breathwork,20
2020-09-06,guided meditation,95
2020-09-06,meditation,95
2020-09-06,mindfulness,84
2020-09-06,yoga nidra,65
2020-09-13,breathwork,16
2020-09-13,guided meditation,96
2020-09-13,meditation,93
2020-09-13,mindfulness,80
2020-09-13,yoga nidra,64
2020-09-20,breathwork,18
2020-09-20,guided meditation,93
2020-09-20,meditation,94
2020-09-20,mindfulness,82
2020-09-20,yoga nidra,65
2020-09-27,breathwork,16
2020-09-27,guided meditation,94
2020-09-27,meditation,94
2020-09-27,mindfulness,76
2020-09-27,yoga nidra,65
2020-10-04,breathwork,20
2020-10-04,guided meditation,93
2020-10-04,meditation,93
2020-10-04,mindfulness,75
2020-10-04,yoga nidra,61
2020-10-11,breathwork,17
2020-10-11,guided meditation,87
2020-10-11,meditation,87
2020-10-11,mindfulness,66
2020-10-11,yoga nidra,68
2020-10-18,breathwork,16
2020-10-18,guided meditation,83
2020-10-18,meditation,83
2020-10-18,mindfulness,68
2020-10-18,yoga nidra,57
2020-10-25,breathwork,16
2020-10-25,guided meditation,84
2020-10-25,meditation,85
2020-10-25,mindfulness,68
2020-10-25,yoga nidra,62
2020-11-01,breathwork,16
2020-11-01,guided meditation,80
2020-11-01,meditation,79
2020-11-01,mindfulness,60
2020-11-01,yoga nidra,56
2020-11-08,breathwork,18
2020-11-08,guided meditation,82
2020-11-08,meditation,87
2020-11-08,mindfulness,67
2020-11-08,yoga nidra,64
2020-11-15,breathwork,18
2020-11-15,guided meditation,85
2020-11-15,meditation,87
2020-11-15,mindfulness,68
2020-11-15,yoga nidra,60
2020-11-22,breathwork,17
2020-11-22,guided meditation,80
2020-11-22,meditation,83
2020-11-22,mindfulness,61
2020-11-22,yoga nidra,59
2020-11-29,breathwork,16
2020-11-29,guided meditation,83
2020-11-29,meditation,84
2020-11-29,mindfulness,65
2020-11-29,yoga nidra,55
2020-12-06,breathwork,15
2020-12-06,guided meditation,82
2020-12-06,meditation,83
2020-12-06,mindfulness,63
2020-12-06,yoga nidra,58
2020-12-13,breathwork,15
2020-12-13,guided meditation,81
2020-12-13,meditation,85
2020-12-13,mindfulness,65
2020-12-13,yoga nidra,55
2020-12-20,breathwork,15
2020-12-20,guided meditation,84
2020-12-20,meditation,87
2020-12-20,mindfulness,45
2020-12-20,yoga nidra,53
2020-12-27,breathwork,17
2020-12-27,guided meditation,84
2020-12-27,meditation,94
2020-12-27,mindfulness,55
2020-12-27,yoga nidra,58
2021-01-03,breathwork,17
2021-01-03,guided meditation,100
2021-01-03,meditation,100
2021-01-03,mindfulness,66
2021-01-03,yoga nidra,62
2021-01-10,breathwork,17
2021-01-10,guided meditation,95
2021-01-10,meditation,96
2021-01-10,mindfulness,68
2021-01-10,yoga nidra,62
2021-01-17,breathwork,18
2021-01-17,guided meditation,92
2021-01-17,meditation,99
2021-01-17,mindfulness,68
2021-01-17,yoga nidra,67
2021-01-24,breathwork,17
