date,keyword,search_interest
2020-07-26,index,0
2020-08-02,index,1
2020-08-09,index,2
2020-08-16,index,3
2020-08-23,index,4
2020-08-30,index,5
2020-09-06,index,6
2020-09-13,index,7
2020-09-20,index,8
2020-09-27,index,9
2020-10-04,index,10
2020-10-11,index,11
2020-10-18,index,12
2020-10-25,index,13
2020-11-01,index,14
2020-11-08,index,15
2020-11-15,index,16
2020-11-22,index,17
2020-11-29,index,18
2020-12-06,index,19
2020-12-13,index,20
2020-12-20,index,21
2020-12-27,index,22
2021-01-03,index,23
2021-01-10,index,24
2021-01-17,index,25
2021-01-24,index,26
2021-01-31,index,27
2021-02-07,index,28
2021-02-14,index,29
2021-02-21,index,30
2021-02-28,index,31
2021-03-07,index,32
2021-03-14,index,33
2021-03-21,index,34
2021-03-28,index,35
2021-04-04,index,36
2021-04-11,index,37
2021-04-18,index,38
2021-04-25,index,39
2021-05-02,index,40
2021-05-09,index,41
2021-05-16,index,42
2021-05-23,index,43
2021-05-30,index,44
2021-06-06,index,45
2021-06-13,index,46
2021-06-20,index,47
2021-06-27,index,48
2021-07-04,index,49
2021-07-11,index,50
2021-07-18,index,51
2021-07-25,index,52
2021-08-01,index,53
2021-08-08,index,54
2021-08-15,index,55
2021-08-22,index,56
2021-08-29,index,57
2021-09-05,index,58
2021-09-12,index,59
2021-09-19,index,60
2021-09-26,index,61
2021-10-03,index,62
2021-10-10,index,63
2021-10-17,index,64
2021-10-24,index,65
2021-10-31,index,66
2021-11-07,index,67
2021-11-14,index,68
2021-11-21,index,69
2021-11-28,index,70
2021-12-05,index,71
2021-12-12,index,72
2021-12-19,index,73
2021-12-26,index,74
2022-01-02,index,75
2022-01-09,index,76
2022-01-16,index,77
2022-01-23,index,78
2022-01-30,index,79
2022-02-06,index,80
2022-02-13,index,81
2022-02-20,index,82
2022-02-27,index,83
2022-03-06,index,84
2022-03-13,index,85
2022-03-20,index,86
2022-03-27,index,87
2022-04-03,index,88
2022-04-10,index,89
2022-04-17,index,90
2022-04-24,index,91
2022-05-01,index,92
2022-05-08,index,93
2022-05-15,index,94
2022-05-22,index,95
2022-05-29,index,96
2022-06-05,index,97
