keyword,related_query,query_type,popularity_score,num_keywords
guided meditation,mindfulness meditation,top,10,3
meditation,mindfulness meditation,top,33,3
mindfulness,mindfulness meditation,top,95,3
mindfulness,meditation,top,100,2
yoga nidra,meditation,top,63,2
guided meditation,meditation for anxiety,top,18,2
guided meditation,meditation for anxiety,rising,80,2
meditation,meditation for anxiety,top,17,2
guided meditation,meditation for sleep,top,34,2
meditation,meditation for sleep,top,31,2
guided meditation,meditation music,top,8,2
meditation,meditation music,top,99,2
guided meditation,mindfulness,top,9,2
meditation,mindfulness,top,33,2
guided meditation,sleep meditation,top,100,2
meditation,sleep meditation,top,100,2
